,city_name,country,Latitude,Max Temperature,Humidity,Wind Speed (mph),Cloudiness %,Date
0,georgetown,sh,-7.93,77.0,65.0,18.34,75.0,2017-12-11
1,rikitea,pf,-23.12,72.2,100.0,13.22,92.0,2017-12-11
2,rio gallegos,ar,-51.62,55.4,71.0,8.05,75.0,2017-12-11
4,jamestown,sh,-20.22,69.8,56.0,11.41,20.0,2017-12-11
5,ushuaia,ar,-0.12,93.2,52.0,11.41,20.0,2017-12-11
7,hermanus,za,-34.42,63.25,59.0,8.63,24.0,2017-12-11
9,inhapim,br,-19.55,73.4,94.0,6.93,90.0,2017-12-11
11,cape town,za,-33.93,64.4,63.0,23.04,20.0,2017-12-11
17,treinta y tres,uy,-33.23,78.37,36.0,11.32,0.0,2017-12-11
20,cidreira,br,-11.75,78.24,75.0,5.82,56.0,2017-12-11
21,avarua,ck,-21.21,77.0,94.0,11.41,75.0,2017-12-11
22,chuy,uy,-33.7,69.86,72.0,15.01,0.0,2017-12-11
23,contamana,pe,-7.33,79.58,92.0,3.27,88.0,2017-12-11
25,atuona,pf,-9.8,79.27,100.0,12.44,32.0,2017-12-11
27,chapeco,br,-16.7,83.46,95.0,6.93,20.0,2017-12-11
28,ancud,cl,-41.87,71.66,76.0,2.37,20.0,2017-12-11
29,cordoba,ar,-31.41,84.2,28.0,8.05,0.0,2017-12-11
30,punta arenas,cl,-53.15,51.8,57.0,21.92,90.0,2017-12-11
32,constitucion,cl,-35.33,61.13,85.0,13.0,56.0,2017-12-11
33,lebu,cl,-37.62,59.15,87.0,16.24,36.0,2017-12-11
34,sao joao da barra,br,-21.64,86.0,58.0,6.93,0.0,2017-12-11
36,mar del plata,ar,-38.0,62.6,63.0,9.17,0.0,2017-12-11
37,vaini,to,-21.2,75.2,78.0,6.96,20.0,2017-12-11
41,urucara,br,-2.54,79.4,92.0,1.92,56.0,2017-12-11
43,puerto narino,co,-3.77,73.4,100.0,5.82,90.0,2017-12-11
44,castro,cl,-42.47,69.41,74.0,5.73,20.0,2017-12-11
47,laguna,br,-28.48,72.25,90.0,20.04,0.0,2017-12-11
51,caravelas,br,-17.71,81.16,93.0,10.98,92.0,2017-12-11
56,belmonte,br,-15.86,82.4,78.0,9.17,40.0,2017-12-11
60,san luis,ar,-33.3,93.04,25.0,5.17,24.0,2017-12-11
67,ariquemes,br,-9.91,73.15,99.0,2.93,92.0,2017-12-11
75,manaus,br,-3.1,80.6,88.0,5.82,75.0,2017-12-11
76,faanui,pf,-16.48,82.91,97.0,9.31,36.0,2017-12-11
78,arraial do cabo,br,-9.42,84.2,66.0,4.7,75.0,2017-12-11
86,santiago de cao,pe,-7.96,69.8,73.0,11.41,40.0,2017-12-11
87,vaitupu,wf,-21.27,75.2,73.0,10.29,75.0,2017-12-11
92,coihaique,cl,-45.58,77.0,33.0,11.41,0.0,2017-12-11
96,harper,lr,4.38,81.43,100.0,7.85,8.0,2017-12-11
97,punta alta,ar,-38.88,75.26,62.0,3.71,0.0,2017-12-11
107,puerto ayora,ec,-0.74,82.4,54.0,9.17,75.0,2017-12-11
115,saldanha,za,-33.01,62.6,63.0,21.92,32.0,2017-12-11
119,puerto maldonado,pe,-12.6,84.2,74.0,3.36,75.0,2017-12-11
120,itaituba,br,-4.28,89.6,62.0,2.82,75.0,2017-12-11
123,maragogi,br,-9.01,87.73,61.0,14.67,36.0,2017-12-11
124,huarmey,pe,-10.07,74.36,58.0,3.94,36.0,2017-12-11
134,uberlandia,br,-18.92,78.8,65.0,4.7,75.0,2017-12-11
142,maraa,br,-1.83,90.79,60.0,8.19,8.0,2017-12-11
144,pucara,pe,-15.98,66.2,25.0,13.87,0.0,2017-12-11
153,pauini,br,-7.71,74.18,100.0,6.73,92.0,2017-12-11
159,montes claros,br,-16.74,71.6,94.0,4.7,90.0,2017-12-11
182,viedma,ar,-40.81,86.96,29.0,13.33,0.0,2017-12-11
186,neuquen,ar,-19.39,80.08,88.0,3.69,88.0,2017-12-11
187,leticia,co,-4.22,73.4,100.0,5.82,90.0,2017-12-11
